Link,Incident,Type,State,Incident Size,Updated Sort ascending
https://inciweb.nwcg.gov/incident-information//incident-information/catnf-biggie-underburn-phase-1,Biggie Underburn - Phase 1,Prescribed Fire,California,544 Acres,41 seconds ago
https://inciweb.nwcg.gov/incident-information//incident-information/catnf-yubaunit-d,Yuba-Unit D,Prescribed Fire,California,300 Acres,4 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/xx1002-flat-fire,Flat Fire,Wildfire,,34242 Acres,1 hour 41 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/orrsf-anvil-fire,Anvil Fire,Wildfire,Oregon,22170 Acres,1 hour 44 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/cosjf-san-juan-national-forest-prescribed-fire-program,San Juan National Forest Prescribed Fire Program,Prescribed Fire,Colorado,Acres,2 hours 44 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/casqf-rabbit-fire,Rabbit Fire,Wildfire,California,2549 Acres,5 hours 10 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/caknp-sycamore-fire,Sycamore Fire,Wildfire,California,24 Acres,5 hours 23 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/nmcif-capilla-prescribed-fire-mountainair-rd-cibola-nfngs,Capilla Prescribed Fire Mountainair RD Cibola NFNGs,Prescribed Fire,New Mexico,72 Acres,6 hours 17 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/catnf-sagehen-hills-underburn,Sagehen Hills Underburn,Prescribed Fire,California,1000 Acres,8 hours 59 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/castf-2023stfquarry-fire,2023-STF-Quarry Fire,Wildfire,California,6729 Acres,9 hours 47 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/caenf-2023-eldorado-national-forest-projects,2023 - Eldorado National Forest Projects,Prescribed Fire,California,Acres,12 hours 53 minutes ago
https://inciweb.nwcg.gov/incident-information//incident-information/caknf-2023-happy-camp-complex-baer-assessment,2023 Happy Camp Complex BAER Assessment,Burned Area Emergency Response,California,Acres,1 day 2 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/azcof-still-fire,Still Fire,Wildfire,Arizona,11233 Acres,1 day 5 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/camnf-mendocino-nf-fall-2023spring-2024-rx-fire-projects,Mendocino NF Fall 2023/Spring 2024 RX Fire Projects,Prescribed Fire,"California, United States",Acres,1 day 6 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/miotf-yellow-dog,Yellow Dog,Wildfire,Michigan,144 Acres,1 day 10 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/nmcaf-mccrystal-rock-unit-valle-vidal-northeast-prescribed-fire,"McCrystal Rock Unit, Valle Vidal Northeast Prescribed Fire",Prescribed Fire,New Mexico,4000 Acres,1 day 11 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/mtlnf-lolo-national-forest-prescribed-fire-operations,Lolo National Forest Prescribed Fire Operations,Prescribed Fire,Montana,Acres,1 day 12 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/caknp-redwood-fire,Redwood Fire,Wildfire,California,1957 Acres,2 days 11 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/casrf-smith-river-complex,Smith River Complex,Wildfire,California,95107 Acres,3 days 1 hour ago
https://inciweb.nwcg.gov/incident-information//incident-information/casqf-sequoia-national-forest-emergency-flood-response,Sequoia National Forest Emergency Flood Response,Flood,California,Acres,3 days 3 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/casrf-2023-srf-lightning-complex-and-redwood-lightning-complex,2023 SRF Lightning Complex and Redwood Lightning Complex,Wildfire,California,50198 Acres,3 days 4 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/catnf-french-meadows-rice-creek-underburn,French Meadows - Rice Creek Underburn,Prescribed Fire,California,262 Acres,3 days 10 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/caknf-2023-happy-camp-complex-klamath-nf,2023 Happy Camp Complex Klamath NF,Wildfire,California,21725 Acres,4 days 3 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/catnf-burlington-pileburn,Burlington Pileburn,Prescribed Fire,California,90 Acres,4 days 13 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/coarf-magic-feather-prescribed-burn,Magic Feather Prescribed Burn,Prescribed Fire,Colorado,6329 Acres,5 days 3 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/coarf-blue-ridge-prescribed-burn,Blue Ridge Prescribed Burn,Prescribed Fire,Colorado,Acres,5 days 5 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/nmcif-buford-wildfire-mountainair-ranger-district,Buford Wildfire Mountainair Ranger District,Wildfire,New Mexico,1500 Acres,5 days 9 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/lalas-elizabeth-fire,Elizabeth Fire,Wildfire,Louisiana,940 Acres,5 days 11 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/lalas-tiger-island-fire,Tiger Island Fire,Wildfire,Louisiana,31290 Acres,5 days 11 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/castf-2023-sourgrass-rx-burn,2023 - Sourgrass RX Burn,Prescribed Fire,California,40 Acres,5 days 11 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/azcof-coconino-national-forest-prescribed-fire-fall-2023,Coconino National Forest prescribed fire (Fall 2023),Prescribed Fire,Arizona,Acres,6 days 4 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/nmcaf-montoya-and-blas-units-canjilon-wildland-urban-interface-project,"Montoya and Blas Units, Canjilon Wildland Urban Interface Project",Prescribed Fire,New Mexico,Acres,6 days 11 hours ago
https://inciweb.nwcg.gov/incident-information//incident-information/orwif-petes-lake-fire,Petes Lake Fire,Wildfire,Oregon,3254 Acres,1 week ago
